番号	用途	推奨サイズ	完成プロンプト
1	ファーストビュー	横長 16:9	日本の中小企業向けのビジネスイラスト。ターゲットは社員5名〜50名の会社の経営者。40代の日本人男性社長を中心人物にする。親しみやすく、清潔感があり、信頼感がある。リアル寄りだが、D2C（Direct to Consumer／消費者直接販売）サイトやSaaS（Software as a Service／サービスとしてのソフトウェア）系ランディングページに合う、半リアルでフラットデザイン寄り、少し立体感のある表現。未来的すぎず、現実的な日本のオフィス、店舗、現場、打ち合わせ風景。表情と動きが分かりやすい。白背景または薄いライトブルー背景。配色はネイビー #15324B、ライトブルー #EAF4FB、オレンジ #FF7A00、グリーン #22C55E、白 #FFFFFF を中心にする。画像内に文字、ロゴ、看板文字、日本語、英語は入れない。吹き出しを入れる場合も、中は空白にする。ランディングページに配置しやすい余白を残す。横長または正方形で生成する。過度なロボット感、SF（Science Fiction／空想科学）的表現、サイバー感は避ける。AI（Artificial Intelligence／人工知能）は、ロボットではなく、パソコン画面、チャット画面、整理された業務アイコン、光のラインで表現する。 40代の日本人男性経営者が、デスクで大量の書類、メール通知、電話、社員からの質問に囲まれて忙しそうにしている。横にはAI（Artificial Intelligence／人工知能）アシスタントを表すパソコン画面があり、書類、メール、問い合わせ、マニュアル、チェックリストがきれいに整理されていく。社長の表情は、困り顔から少し安心している雰囲気。日本の中小企業の現実的なオフィス。親しみやすく信頼感のあるビジネスイラスト。D2C（Direct to Consumer／消費者直接販売）サイトのファーストビュー向け。白背景。ネイビー、ライトブルー、オレンジ、グリーン基調。画像内に文字なし。左側に見出しを入れる余白を残す。
2	悩みカード用アイコンセット	正方形 1:1	日本の中小企業向けのビジネスイラスト。ターゲットは社員5名〜50名の会社の経営者。40代の日本人男性社長を中心人物にする。親しみやすく、清潔感があり、信頼感がある。リアル寄りだが、D2C（Direct to Consumer／消費者直接販売）サイトやSaaS（Software as a Service／サービスとしてのソフトウェア）系ランディングページに合う、半リアルでフラットデザイン寄り、少し立体感のある表現。未来的すぎず、現実的な日本のオフィス、店舗、現場、打ち合わせ風景。表情と動きが分かりやすい。白背景または薄いライトブルー背景。配色はネイビー #15324B、ライトブルー #EAF4FB、オレンジ #FF7A00、グリーン #22C55E、白 #FFFFFF を中心にする。画像内に文字、ロゴ、看板文字、日本語、英語は入れない。吹き出しを入れる場合も、中は空白にする。ランディングページに配置しやすい余白を残す。横長または正方形で生成する。過度なロボット感、SF（Science Fiction／空想科学）的表現、サイバー感は避ける。AI（Artificial Intelligence／人工知能）は、ロボットではなく、パソコン画面、チャット画面、整理された業務アイコン、光のラインで表現する。 日本の中小企業の社長が抱える6つの悩みを表すアイコン風イラストセット。1つ目は社長が確認作業に追われている。2つ目は社員が同じ質問をしている。3つ目は事務作業や書類作成で疲れている。4つ目は問い合わせメールがたまっている。5つ目は新人教育に時間がかかっている。6つ目はAI（Artificial Intelligence／人工知能）を何から始めればいいか分からず悩んでいる。各アイコンは同じテイストで、カードに配置しやすい。白背景。ネイビー、ライトブルー、オレンジ基調。画像内に文字なし。
3	2コマ漫画 社長の1日 Before After	横長 16:9	日本の中小企業向けのビジネスイラスト。ターゲットは社員5名〜50名の会社の経営者。40代の日本人男性社長を中心人物にする。親しみやすく、清潔感があり、信頼感がある。リアル寄りだが、D2C（Direct to Consumer／消費者直接販売）サイトやSaaS（Software as a Service／サービスとしてのソフトウェア）系ランディングページに合う、半リアルでフラットデザイン寄り、少し立体感のある表現。未来的すぎず、現実的な日本のオフィス、店舗、現場、打ち合わせ風景。表情と動きが分かりやすい。白背景または薄いライトブルー背景。配色はネイビー #15324B、ライトブルー #EAF4FB、オレンジ #FF7A00、グリーン #22C55E、白 #FFFFFF を中心にする。画像内に文字、ロゴ、看板文字、日本語、英語は入れない。吹き出しを入れる場合も、中は空白にする。ランディングページに配置しやすい余白を残す。横長または正方形で生成する。過度なロボット感、SF（Science Fiction／空想科学）的表現、サイバー感は避ける。AI（Artificial Intelligence／人工知能）は、ロボットではなく、パソコン画面、チャット画面、整理された業務アイコン、光のラインで表現する。 2コマ漫画風のビジネスイラスト。左の1コマ目はBefore（導入前）。日本の中小企業の40代男性社長が、電話、メール、書類、社員からの質問、顧客対応に囲まれて困っている。右の2コマ目はAfter（導入後）。AI（Artificial Intelligence／人工知能）を表すパソコン画面がメール下書き、FAQ（Frequently Asked Questions／よくある質問）、マニュアル、チェックリストを整理し、社長は落ち着いて経営資料を見ている。社員も自分で仕事を進めている。Before（導入前）は少し慌ただしく、After（導入後）は明るく安心感がある。吹き出しを入れる余白はあるが、文字は入れない。白背景。ネイビー、ライトブルー、オレンジ、グリーン基調。
4	社長に仕事が集中している図解	横長 16:9	日本の中小企業向けのビジネスイラスト。ターゲットは社員5名〜50名の会社の経営者。40代の日本人男性社長を中心人物にする。親しみやすく、清潔感があり、信頼感がある。リアル寄りだが、D2C（Direct to Consumer／消費者直接販売）サイトやSaaS（Software as a Service／サービスとしてのソフトウェア）系ランディングページに合う、半リアルでフラットデザイン寄り、少し立体感のある表現。未来的すぎず、現実的な日本のオフィス、店舗、現場、打ち合わせ風景。表情と動きが分かりやすい。白背景または薄いライトブルー背景。配色はネイビー #15324B、ライトブルー #EAF4FB、オレンジ #FF7A00、グリーン #22C55E、白 #FFFFFF を中心にする。画像内に文字、ロゴ、看板文字、日本語、英語は入れない。吹き出しを入れる場合も、中は空白にする。ランディングページに配置しやすい余白を残す。横長または正方形で生成する。過度なロボット感、SF（Science Fiction／空想科学）的表現、サイバー感は避ける。AI（Artificial Intelligence／人工知能）は、ロボットではなく、パソコン画面、チャット画面、整理された業務アイコン、光のラインで表現する。 日本の中小企業の業務集中を表す図解風ビジネスイラスト。左側には40代男性社長がいて、社員、顧客、メール、書類、問い合わせ、教育、確認依頼、判断依頼がすべて社長に集まっている。矢印や流れで仕事の集中を表現する。右側にはAI（Artificial Intelligence／人工知能）を表すパソコン画面があり、社長の判断基準、マニュアル、返信下書き、チェックリスト、社内共有に整理され、社員へ分散されていく。左右比較の構図。白背景。D2C（Direct to Consumer／消費者直接販売）サイト向けの分かりやすい図解。画像内に文字なし。
5	放置リスク用イラスト	横長 16:9	日本の中小企業向けのビジネスイラスト。ターゲットは社員5名〜50名の会社の経営者。40代の日本人男性社長を中心人物にする。親しみやすく、清潔感があり、信頼感がある。リアル寄りだが、D2C（Direct to Consumer／消費者直接販売）サイトやSaaS（Software as a Service／サービスとしてのソフトウェア）系ランディングページに合う、半リアルでフラットデザイン寄り、少し立体感のある表現。未来的すぎず、現実的な日本のオフィス、店舗、現場、打ち合わせ風景。表情と動きが分かりやすい。白背景または薄いライトブルー背景。配色はネイビー #15324B、ライトブルー #EAF4FB、オレンジ #FF7A00、グリーン #22C55E、白 #FFFFFF を中心にする。画像内に文字、ロゴ、看板文字、日本語、英語は入れない。吹き出しを入れる場合も、中は空白にする。ランディングページに配置しやすい余白を残す。横長または正方形で生成する。過度なロボット感、SF（Science Fiction／空想科学）的表現、サイバー感は避ける。AI（Artificial Intelligence／人工知能）は、ロボットではなく、パソコン画面、チャット画面、整理された業務アイコン、光のラインで表現する。 日本の中小企業の社長が、積み上がる書類、増え続けるタスク、砂時計、疲れた社員、未返信メールに囲まれている。忙しいのに前に進まない雰囲気。ただし暗すぎず、現実的でビジネス向け。社長の表情は疲れているが、絶望ではなく改善の余地を感じる。ランディングページのリスク訴求セクション向け。白背景または薄いライトグレー背景。ネイビー、ライトグレー、薄い赤、オレンジ基調。画像内に文字なし。
6	解決策 AIで社長の仕事を減らす	横長 16:9	日本の中小企業向けのビジネスイラスト。ターゲットは社員5名〜50名の会社の経営者。40代の日本人男性社長を中心人物にする。親しみやすく、清潔感があり、信頼感がある。リアル寄りだが、D2C（Direct to Consumer／消費者直接販売）サイトやSaaS（Software as a Service／サービスとしてのソフトウェア）系ランディングページに合う、半リアルでフラットデザイン寄り、少し立体感のある表現。未来的すぎず、現実的な日本のオフィス、店舗、現場、打ち合わせ風景。表情と動きが分かりやすい。白背景または薄いライトブルー背景。配色はネイビー #15324B、ライトブルー #EAF4FB、オレンジ #FF7A00、グリーン #22C55E、白 #FFFFFF を中心にする。画像内に文字、ロゴ、看板文字、日本語、英語は入れない。吹き出しを入れる場合も、中は空白にする。ランディングページに配置しやすい余白を残す。横長または正方形で生成する。過度なロボット感、SF（Science Fiction／空想科学）的表現、サイバー感は避ける。AI（Artificial Intelligence／人工知能）は、ロボットではなく、パソコン画面、チャット画面、整理された業務アイコン、光のラインで表現する。 日本の中小企業のオフィスで、AI（Artificial Intelligence／人工知能）を表すパソコン画面が、メール、資料、マニュアル、問い合わせ、チェックリストを自動で整理している。社長は落ち着いて経営判断や商談準備に集中している。社員は整理されたテンプレートやマニュアルを見ながら仕事を進めている。明るく前向きで、仕事がスムーズに流れている雰囲気。白背景。ネイビー、ライトブルー、オレンジ、グリーン基調。画像内に文字なし。
7	3ステップ支援イラスト	横長 16:9	日本の中小企業向けのビジネスイラスト。ターゲットは社員5名〜50名の会社の経営者。40代の日本人男性社長を中心人物にする。親しみやすく、清潔感があり、信頼感がある。リアル寄りだが、D2C（Direct to Consumer／消費者直接販売）サイトやSaaS（Software as a Service／サービスとしてのソフトウェア）系ランディングページに合う、半リアルでフラットデザイン寄り、少し立体感のある表現。未来的すぎず、現実的な日本のオフィス、店舗、現場、打ち合わせ風景。表情と動きが分かりやすい。白背景または薄いライトブルー背景。配色はネイビー #15324B、ライトブルー #EAF4FB、オレンジ #FF7A00、グリーン #22C55E、白 #FFFFFF を中心にする。画像内に文字、ロゴ、看板文字、日本語、英語は入れない。吹き出しを入れる場合も、中は空白にする。ランディングページに配置しやすい余白を残す。横長または正方形で生成する。過度なロボット感、SF（Science Fiction／空想科学）的表現、サイバー感は避ける。AI（Artificial Intelligence／人工知能）は、ロボットではなく、パソコン画面、チャット画面、整理された業務アイコン、光のラインで表現する。 AI（Artificial Intelligence／人工知能）導入支援の3ステップを表すビジネスイラスト。1つ目は社長と専門家が業務ヒアリングをしている。2つ目は業務フローを見ながらAI（Artificial Intelligence／人工知能）を使う場所を決めている。3つ目は社員がAI（Artificial Intelligence／人工知能）を使って、メール、マニュアル、チェックリストを活用している。3分割の構図。日本の中小企業。親しみやすく清潔感がある。白背景。画像内に文字なし。
8	サービス内容4カード用アイコン	正方形 1:1	日本の中小企業向けのビジネスイラスト。ターゲットは社員5名〜50名の会社の経営者。40代の日本人男性社長を中心人物にする。親しみやすく、清潔感があり、信頼感がある。リアル寄りだが、D2C（Direct to Consumer／消費者直接販売）サイトやSaaS（Software as a Service／サービスとしてのソフトウェア）系ランディングページに合う、半リアルでフラットデザイン寄り、少し立体感のある表現。未来的すぎず、現実的な日本のオフィス、店舗、現場、打ち合わせ風景。表情と動きが分かりやすい。白背景または薄いライトブルー背景。配色はネイビー #15324B、ライトブルー #EAF4FB、オレンジ #FF7A00、グリーン #22C55E、白 #FFFFFF を中心にする。画像内に文字、ロゴ、看板文字、日本語、英語は入れない。吹き出しを入れる場合も、中は空白にする。ランディングページに配置しやすい余白を残す。横長または正方形で生成する。過度なロボット感、SF（Science Fiction／空想科学）的表現、サイバー感は避ける。AI（Artificial Intelligence／人工知能）は、ロボットではなく、パソコン画面、チャット画面、整理された業務アイコン、光のラインで表現する。 4つのサービスを表す統一感のあるビジネスアイコンセット。1つ目はAI（Artificial Intelligence／人工知能）業務診断で、虫眼鏡と業務フローを見ている。2つ目はAI（Artificial Intelligence／人工知能）導入研修で、講師が社員に説明している。3つ目はAI（Artificial Intelligence／人工知能）業務実装支援で、テンプレート、マニュアル、チェックリストを作っている。4つ目はAI（Artificial Intelligence／人工知能）顧問サポートで、毎月相談しながら改善している。シンプルなカード用アイコン。白背景。ネイビー、ライトブルー、オレンジ、グリーン基調。画像内に文字なし。
9	3コマ漫画 導入の流れ	横長 16:9	日本の中小企業向けのビジネスイラスト。ターゲットは社員5名〜50名の会社の経営者。40代の日本人男性社長を中心人物にする。親しみやすく、清潔感があり、信頼感がある。リアル寄りだが、D2C（Direct to Consumer／消費者直接販売）サイトやSaaS（Software as a Service／サービスとしてのソフトウェア）系ランディングページに合う、半リアルでフラットデザイン寄り、少し立体感のある表現。未来的すぎず、現実的な日本のオフィス、店舗、現場、打ち合わせ風景。表情と動きが分かりやすい。白背景または薄いライトブルー背景。配色はネイビー #15324B、ライトブルー #EAF4FB、オレンジ #FF7A00、グリーン #22C55E、白 #FFFFFF を中心にする。画像内に文字、ロゴ、看板文字、日本語、英語は入れない。吹き出しを入れる場合も、中は空白にする。ランディングページに配置しやすい余白を残す。横長または正方形で生成する。過度なロボット感、SF（Science Fiction／空想科学）的表現、サイバー感は避ける。AI（Artificial Intelligence／人工知能）は、ロボットではなく、パソコン画面、チャット画面、整理された業務アイコン、光のラインで表現する。 3コマ漫画風のビジネスイラスト。1コマ目は日本の中小企業の40代男性社長が、AI（Artificial Intelligence／人工知能）に興味はあるが何から始めればいいか悩んでいる。2コマ目は専門家が業務フローを見ながら、最初に改善すべき業務を社長に提案している。3コマ目は社員がAI（Artificial Intelligence／人工知能）を使って業務を進め、社長の負担が軽くなっている。吹き出しを入れる余白あり。画像内に文字なし。白背景。ネイビー、ライトブルー、オレンジ、グリーン基調。
10	AI化できる業務アイコン12個	正方形 1:1	日本の中小企業向けのビジネスイラスト。ターゲットは社員5名〜50名の会社の経営者。40代の日本人男性社長を中心人物にする。親しみやすく、清潔感があり、信頼感がある。リアル寄りだが、D2C（Direct to Consumer／消費者直接販売）サイトやSaaS（Software as a Service／サービスとしてのソフトウェア）系ランディングページに合う、半リアルでフラットデザイン寄り、少し立体感のある表現。未来的すぎず、現実的な日本のオフィス、店舗、現場、打ち合わせ風景。表情と動きが分かりやすい。白背景または薄いライトブルー背景。配色はネイビー #15324B、ライトブルー #EAF4FB、オレンジ #FF7A00、グリーン #22C55E、白 #FFFFFF を中心にする。画像内に文字、ロゴ、看板文字、日本語、英語は入れない。吹き出しを入れる場合も、中は空白にする。ランディングページに配置しやすい余白を残す。横長または正方形で生成する。過度なロボット感、SF（Science Fiction／空想科学）的表現、サイバー感は避ける。AI（Artificial Intelligence／人工知能）は、ロボットではなく、パソコン画面、チャット画面、整理された業務アイコン、光のラインで表現する。 AI（Artificial Intelligence／人工知能）で効率化できる12個の業務を表す統一感のあるビジネスアイコンセット。問い合わせ返信、見積文作成、議事録作成、社内マニュアル、求人文章作成、SNS（Social Networking Service／交流型インターネットサービス）投稿、営業資料作成、顧客対応文、社員教育、チェックリスト、社長の指示文、口コミ返信を表現する。各アイコンはシンプルでカードに載せやすい。白背景。ネイビー、ライトブルー、オレンジ、グリーン基調。画像内に文字なし。
